https://www.sports.ru/tribuna/blogs/dobroefk/; Доброе ФК; Блог об одиночном фигурном катании и любимых фигуристах; 30 ноября 2014; Закрытый; 39; Фигурное катание; женское катание| Юдзуру Ханю| мужское катание; https://www.sports.ru/profile/158399775/
https://www.sports.ru/tribuna/blogs/domninashabalin/; Танцы плюс; Блог Оксаны Домниной и Максима Шабалина о фигурном катании; 20 октября 2009; Закрытый; 5; Фигурное катание; Максим Шабалин| Оксана Домнина| танцы на льду| сборная России; https://www.sports.ru/profile/40972259/
https://www.sports.ru/tribuna/blogs/doublecake/; Слоеный пирог; Субъективные впечатления от различных спортивных соревнований; 10 сентября 2018; Закрытый; 6; Фигурное катание; Сборная Германии по футболу| Лига чемпионов| Сборная России по футболу| сборная России| ISU; https://www.sports.ru/profile/1039273464/
https://www.sports.ru/tribuna/blogs/duchesselisa/; Душой исполненный полет; Прекрасный мир ледовых грез; 28 октября 2017; Закрытый; 7; Фигурное катание; Алина Загитова| Евгения Медведева; https://www.sports.ru/profile/1056942993/
https://www.sports.ru/tribuna/blogs/dumpling/; Пельмени на льду; о фигурном катании; 10 апреля 2019; Закрытый; 4; Фигурное катание; женское катание| мужское катание; https://www.sports.ru/profile/1073486046/
https://www.sports.ru/tribuna/blogs/earthtime/; Когда думаешь о ФК; Мысли об одном из самых красивых видов спорта; 31 января 2017; Открытый c премодерацией; 17; Фигурное катание; Анна Погорилая| Евгения Медведева; https://www.sports.ru/profile/1047941215/
https://www.sports.ru/tribuna/blogs/eiskunstlauf/; любимое ФК; любимое; 23 сентября 2018; Открытый; 0; Фигурное катание; спортивные танцы; https://www.sports.ru/profile/1045654214/
https://www.sports.ru/tribuna/blogs/elenagri/; Календарь дат и событий; фото и видео блог о самом красивом виде спорта; 9 сентября 2015; Открытый c премодерацией; 0; Фигурное катание; Аделина Сотникова; https://www.sports.ru/profile/1032828597/
https://www.sports.ru/tribuna/blogs/elucidus/; размышления о фк; фк аналитика; 14 ноября 2018; Открытый; 41; Фигурное катание; Илья Авербух; https://www.sports.ru/profile/1057606563/
https://www.sports.ru/tribuna/blogs/enotfigureskating/; Записки сердитого енота; Может быть, этот зверь добрый и симпатичный; 8 ноября 2014; Закрытый; 13; Фигурное катание; Юдзуру Ханю| Стефан Ламбьель; https://www.sports.ru/profile/97864437/
